spp,x,G,N
Species80,-0.06219291328967295,14.808826980620557,946547.6122495686
Species81,0.04305702300345749,14.548515766511679,862264.2860341582
Species82,-0.0427540191314014,14.15752487622268,814062.7897912447
Species83,-0.17502383432523802,15.460968892269918,879138.4062189148
Species84,-0.29894987656662886,15.195792125923056,1.0141379383103427e6
Species85,0.1261469772404774,15.280534090898415,959637.4238044602
Species86,0.11959604678723604,15.404159654200377,909368.5865638127
Species87,0.04698911378439086,15.760835764405071,869276.160874742
Species88,0.2017182925730452,15.953997522672294,861617.4806279419
Species89,0.9265557671872245,14.827107084638621,850304.8948408078
Species90,4.6751712771978715,10.723233786639454,3.067479898740982e6
Species91,-0.40416863903910905,14.8957260726148,916557.5188449885
Species92,-0.16434046668417387,16.462286457080715,775075.7554046714
Species93,0.4764301082524602,14.75180470924301,714097.6113527257
Species94,0.420913489376977,15.064049395462186,674625.5925526652
Species95,-0.09209669670437168,15.143838228441735,997346.9883073363
Species96,0.2518695891619149,16.18876262402598,896291.4161325399
Species97,0.40071882449174184,14.217302689215423,611932.4038223815
Species98,-0.2856428374217787,15.673666518695775,855651.722559951
Species99,0.48673880188821317,15.678817401054186,799900.2054572084
Species100,0.03992317836789426,15.844597461329569,972062.0802300996
Species101,-0.22053138026605446,15.713581192000674,996434.5233535318
Species102,-0.11659062515428724,16.207743662769413,858517.1185101452
Species103,1.1182459832201694,14.476421817132476,896806.4043987405
Species104,-0.6466412854229956,15.245093113159074,768432.6505684383
Species105,-0.026123313047470047,15.42293289889938,846267.4748033325
Species106,-0.5727881899335688,15.37398178203492,770039.5657658876
Species107,-4.6485972982565755,9.57772342081918,2.3839011405037767e6
Species108,1.2090519930462802,14.22432293233346,869632.9365537041
Species109,-0.31991234322584244,16.34164036320646,833081.3491905645
Species110,0.0033866738666746775,16.02696035982909,1.0386825224498644e6
Species111,-0.4123853507582513,15.245456008236474,848673.7411204187
Species112,4.317190531177254,10.199474538692435,1.7453684220726546e6
Species113,-0.4868237143017709,15.978749654250294,972485.4314388096
Species114,-0.5264738213549928,15.512908704566838,980601.3142406944
Species115,0.5179532044022973,15.718828570042415,884581.7007325405
Species116,-0.4484828367363875,15.147832270760595,994857.4900212658
Species117,-0.6886378823330851,15.664881594838883,1.0166370235570791e6
Species118,0.06577046179412244,16.456985142332798,1.0394223706957182e6
Species119,-0.2352191113483082,15.86395196791838,1.059311159285361e6
Species120,-0.2632539285318059,14.977448883365447,858249.4977205541
Species121,-0.3586142159445882,15.887702883720998,895502.0278798545
Species122,-0.7765227984284214,14.770271196359426,714692.23369167
Species123,7.810552532854926,8.152886879845234,4.904619878355763e7
Species124,0.0715799689132676,14.471488691824359,986825.7071367652
Species125,0.39897295879757144,15.380018142369583,851669.8693037174
Species126,-0.5190297477681857,15.721855860116255,1.0035410484586835e6
Species127,-0.6017499241648824,15.353442585448677,924564.0400075981
Species128,0.6673865781044098,14.222523361510653,1.0455736252971723e6
Species129,2.291299552733721,12.339063552347186,753201.0204353504
Species130,-1.1774719703146062,13.55097397274656,957233.4964985694
Species131,-0.0844966013775119,16.67933658365805,1.03717109319985e6
Species132,-0.4065971546291282,15.953430456539413,936140.5082331939
Species133,-3.5095071000504343,11.052326434756894,1.1723039005662308e6
Species134,0.04629746822527526,14.765728157046366,1.0049276953635531e6
Species135,-0.4320896552683621,14.408194184513102,937626.2250889663
Species136,0.25288877392,15.614243158589549,766629.7839777555
Species137,-0.44021833336950505,15.454910181966845,926035.9486818502
Species138,-1.0414877195888281,15.210179902739924,949068.4327984097
Species139,-4.242388186911038,4.557251990718778,2.669526675723845e6
Species140,-0.019676872919415393,15.542463210346103,759849.6373998389
Species141,3.536161112292759,15.743240913918656,2.177696070296496e7
Species142,-4.383332023200062,3.3878534063210686,2.4291248531568577e6
Species143,0.017675735835057667,16.11660057313524,1.0110505284022669e6
Species144,5.214369185075378,9.699240358172004,3.065776602524896e6
Species145,-3.5855271726999556,11.085055357819325,1.114789345804143e6
Species146,-0.4136218592997841,15.676861042475641,732873.2529207263
Species147,-0.0017089247764750356,15.044099182957993,864164.090575385
Species148,-0.1383732883541094,15.11788537752071,1.087710528359383e6
Species149,-0.0454451655046207,16.090938936467083,794292.9347365545
Species150,-0.3159620465437115,15.60382025839724,883071.6483617334
Species151,-0.41494643314606916,15.571604689464042,917801.847350361
Species152,-0.46188682211120347,14.994041248660801,810611.4481261425
Species153,6.665601357993007,7.966052901310752,7.706469269961443e6
Species154,-0.03883363366562211,15.869053505433838,1.0068630069154154e6
Species155,-0.31854104574391334,15.57682103548109,973279.5460089684
Species156,-0.6852180758180757,15.092771771937857,949343.580500339
Species157,-0.14908797571922974,15.704097966197862,746352.6567301257
Species158,-0.6104005287010973,15.379962706558063,732021.5910848463
Species159,5.40574751714465,9.483501222920136,3.6156125395753146e6
Species160,-0.23876239589426845,15.850895052457071,970087.944274588
Species161,0.13909677875549933,15.047611354128392,842998.3312012266
Species162,-0.0978978636812931,15.414594321401554,803370.5031478171
Species163,-2.6485456335482467,12.482255010311672,802636.8400913525
Species164,-4.284356418786895,4.5599790799130835,2.360314226803219e6
Species165,-0.31574638660395404,15.441085687794923,818878.4467438417
Species166,0.10506759323315687,16.623397450796126,1.0530495745980763e6
